participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0504,R_1HoSOmzAioPWfRs,Nonsense,Furphy,,"You reckon the earth is flat, what a furphy","Not very common, but usually in a pub or social setting, with alcohol being served!",I believe the origins came from the miners furphy lamps casting shadows in the diggings
A0505,R_22VpUY2b2fiCzPf,Nonsense,Codswallop,,,,
A0506,R_2VqhNOb3hoHx2kV,Nonsense,Rubbish,,She told me some rubbish story about being stuck in traffic,Everyday conversation,
A0507,R_3QYJgpvKDgOh9Cs,Nonsense,bullshit,,,,
A0508,R_Tq1IFWUTFgAWunT,Nonsense,Codswallop,,That's a load of codswallop,,
A0509,R_2AKEuhrKUMreb5G,Nonsense,bulldust,,That's bulldust! (said when some tells you a lie or porkie!),Still in use around here.,no
A0510,R_25XZq7ONQynFiUN,Nonsense,load of hot air,,,,
A0511,R_3O7FknzH0gs54iu,Nonsense,BULLSHIT,,HE TALKS A LOAD OF BULLSHIT,"LOCALLY, AMONG FRIENDS","ALSO ""BULLDUST"""
A0512,R_7PvUAZlnZ0ZBWO5,Nonsense,I didn't come here to fuck spiders.,,All this small talk. I'm not here to fuck spiders,,
A0513,R_12ElIMw6sTpodVj,Nonsense,"drivel, crap",,,,
A0514,R_3G0rIj9We3pQLWt,Nonsense,Bullshit,,Don't bullshit on my leg and call it brown kitten,,
A0515,R_2t5VJzeUh1jJC5d,Nonsense,"Bulsh, bullshit",,The PM is full of bullshit,"In everyday use, all age groups",
A0516,R_1N48VSV9F40QduM,Nonsense,tripe,,what a load of tripe,,
A0517,R_2rBIjIlFojLViCF,Nonsense,Silly buggers.,,Those teenage boys were up playing silly buggers all weekend.,Used when people are mucking around and just having fun without being too dangerous. Just a light hearted saying.,
A0518,R_2f7niCI0aewIIEc,Nonsense,Bullshit,,He speaks pure bullshit,All over the place,"One would be polite and call it 'bulldust', of course."
A0520,R_3oLo35G8mso5uCq,Nonsense,Crock,,"Oh get off it, that's a load of crock.",Casual speech,Bit more severe than nonsense
A0521,R_2bTZpsSS3lZrNID,Nonsense,Bullshit.,,Yuo are talking bullshit.,I use it and hear it used.,
A0524,R_1jSTwsLTPn1dWCb,Nonsense,bullderdash or a load of baloney,,what a lot of bullderdash,general conversation,
A0526,R_1UlFCeKiyxIAB3z,Nonsense,You're carrying on like a pork chop,,Stop it! You're carrying on like a pork chop!,We use it with our children.,
A0527,R_3GD47GhvGj4gXz6,Nonsense,You are having a lend of me,,You are having a lend of me,Mainly fims,
A0528,R_3DbSFBUOBtI1Xdf,Nonsense,bulldust,,That is bulldust,everywhere,
A0531,R_1QMW4Q6tA4FO4KI,Nonsense,Bullshit,,,,
A0532,R_3O2fzxxcIYLcrs4,Nonsense,furphy,,Thw controversy over AZ abit of a furphy,you might want to rethink ypur survey design,
A0533,R_BG0RoJ3FUwC7Fpn,Nonsense,Garbage,,,,
A0537,R_3nw9NxDLbX9h0E2,Nonsense,versions of animal faeces,,"crap, bullshit, camel droppings",describing political drivel,Wonderful way to answer the TV jargon of politicians
A0538,R_3PBjtjabKqtbD2p,Nonsense,Troppo,,That idea is troppo,,
A0539,R_2sRo2vOhn401jwN,Nonsense,Bullshit,,This local government regulation is bullshit.,"Still frequently used, including by me.",This is just about the perfect Australian dismissal for nonsense.
